fragment,nN,nS,nO,nX,nBondsD,nBondsT,naRing,nARing
C1=C[NH]C=N1,2,0,0,0,0,0,1,0
CCS,0,1,0,0,0,0,0,0
CC1=CSC=N1,1,1,0,0,0,0,1,0
C1=CC=NC=C1,1,0,0,0,0,0,1,0
C1=NN=C[NH]1,3,0,0,0,0,0,1,0
CC1=CSC=C1,0,1,0,0,0,0,1,0
C1CNCNC1,2,0,0,0,0,0,0,1
CC1=CC=CC(C)=C1,0,0,0,0,0,0,1,0
N[SH](=O)=O,1,1,2,0,2,0,0,0
CC(=O)O,0,0,2,0,1,0,0,0
NCC=O,1,0,1,0,1,0,0,0
CCCN,1,0,0,0,0,0,0,0
O=CO,0,0,2,0,1,0,0,0
NCC(N)=O,2,0,1,0,1,0,0,0
NS,1,1,0,0,0,0,0,0
SC1=CC=CC=C1,0,1,0,0,0,0,1,0
CCC(=O)NC,1,0,1,0,1,0,0,0
CNS,1,1,0,0,0,0,0,0
CNC(N)=O,2,0,1,0,1,0,0,0
CCC=O,0,0,1,0,1,0,0,0
CC1=CC=C[NH]1,1,0,0,0,0,0,1,0
CCNC=O,1,0,1,0,1,0,0,0
CN1CCCCC1,1,0,0,0,0,0,0,1
FC1=CC=CC(F)=C1,0,0,0,2,0,0,1,0
O=S,0,1,1,0,1,0,0,0
CC1=NC=CS1,1,1,0,0,0,0,1,0
CC1CCCCC1,0,0,0,0,0,0,0,1
C1=NCCCN1,2,0,0,0,1,0,0,1
CN1C=CN=C1,2,0,0,0,0,0,1,0
C1=CN=CN=C1,2,0,0,0,0,0,1,0
CC1=CC=NO1,1,0,1,0,0,0,1,0
CN1C=NC=N1,3,0,0,0,0,0,1,0
CNC1=CC=CC=C1,1,0,0,0,0,0,1,0
CS(N)(=O)=O,1,1,2,0,2,0,0,0
CCl,0,0,0,1,0,0,0,0
C1=NCCN1,2,0,0,0,1,0,0,1
CN1CCNCC1,2,0,0,0,0,0,0,1
CNC(=O)CN,2,0,1,0,1,0,0,0
NC1CCCC1,1,0,0,0,0,0,0,1
O=C1C=CC=C[NH]1,1,0,1,0,1,0,1,0
C1=CSC=C1,0,1,0,0,0,0,1,0
O=CC1=CC=CC=C1,0,0,1,0,1,0,1,0
C1=NNCCC1,2,0,0,0,1,0,0,1
C1=C[NH]N=N1,3,0,0,0,0,0,1,0
CC1=NOC=C1,1,0,1,0,0,0,1,0
C#CC,0,0,0,0,0,1,0,0
CCSC,0,1,0,0,0,0,0,0
CC1=CC=CC=C1C,0,0,0,0,0,0,1,0
C1=CC=C2[NH]C=NC2=C1,2,0,0,0,0,0,2,0
O=C1C=CNCN1,2,0,1,0,2,0,0,1
CC(C)=O,0,0,1,0,1,0,0,0
NC(=O)C1=CC=CC=C1,1,0,1,0,1,0,1,0
CC(C)N,1,0,0,0,0,0,0,0
NCC1=CC=CC=C1,1,0,0,0,0,0,1,0
C1=N[NH]C=N1,3,0,0,0,0,0,1,0
NC(N)=O,2,0,1,0,1,0,0,0
NC1CCCCC1,1,0,0,0,0,0,0,1
CC1=NOC=N1,2,0,1,0,0,0,1,0
CC1=CC=C(C)C=C1,0,0,0,0,0,0,1,0
C[SH]=O,0,1,1,0,1,0,0,0
FC1=CC=CC=C1F,0,0,0,2,0,0,1,0
C1=CNCN=C1,2,0,0,0,2,0,0,1
C1=CCOCC1,0,0,1,0,1,0,0,1
NC1=CC=CC=N1,2,0,0,0,0,0,1,0
O=C1C=CN=C[NH]1,2,0,1,0,1,0,1,0
CC1CCCC1,0,0,0,0,0,0,0,1
CCNC(N)=O,2,0,1,0,1,0,0,0
CNC(=O)NC,2,0,1,0,1,0,0,0
CN1C=NN=N1,4,0,0,0,0,0,1,0
C1=CC=C2OCOC2=C1,0,0,2,0,0,0,1,1
CN1C=CC=C1,1,0,0,0,0,0,1,0
CC(=O)NC1=CC=CC=C1,1,0,1,0,1,0,1,0
CC1=COC=C1,0,0,1,0,0,0,1,0
CC1=N[NH]C(C)=C1,2,0,0,0,0,0,1,0
C1=CC=C2[NH]C=CC2=C1,1,0,0,0,0,0,2,0
NC1=NC=CS1,2,1,0,0,0,0,1,0
C1=CNCCC1,1,0,0,0,1,0,0,1
C1=CCNN=C1,2,0,0,0,2,0,0,1
CCCC,0,0,0,0,0,0,0,0
O=C1COCCN1,1,0,2,0,1,0,0,1
CC1=NC=NO1,2,0,1,0,0,0,1,0
C1=CN=CNC1,2,0,0,0,2,0,0,1
C1=CCNCC1,1,0,0,0,1,0,0,1
NC1=NC=CC=N1,3,0,0,0,0,0,1,0
C1CNCN1,2,0,0,0,0,0,0,1
O=CNC1=CC=CC=C1,1,0,1,0,1,0,1,0
CC(C)O,0,0,1,0,0,0,0,0
CN(C)C,1,0,0,0,0,0,0,0
CCNC(=O)NC,2,0,1,0,1,0,0,0
NN,2,0,0,0,0,0,0,0
COC=O,0,0,2,0,1,0,0,0
CC1=NOC(C)=C1,1,0,1,0,0,0,1,0
COC1=CC=CC=C1,0,0,1,0,0,0,1,0
CN1C=NN=C1,3,0,0,0,0,0,1,0
NC1=CC=CN=C1,2,0,0,0,0,0,1,0
CNC(=O)C1=CC=CC=C1,1,0,1,0,1,0,1,0
CC1=CC=N[NH]1,2,0,0,0,0,0,1,0
C1=CC=C2C=CC=CC2=C1,0,0,0,0,0,0,2,0
CC1CCNCC1,1,0,0,0,0,0,0,1
C1=CNC=CC1,1,0,0,0,2,0,0,1
O=C1CNCCN1,2,0,1,0,1,0,0,1
O=C1CCCCN1,1,0,1,0,1,0,0,1
CC1CCC1,0,0,0,0,0,0,0,1
CC1=NN(C)C=C1,2,0,0,0,0,0,1,0
O=C1C=CC=N[NH]1,2,0,1,0,1,0,1,0
C1CCNC1,1,0,0,0,0,0,0,1
CCN(C)C,1,0,0,0,0,0,0,0
CC1=C[NH]N=C1,2,0,0,0,0,0,1,0
C1=CC=C2CCCC2=C1,0,0,0,0,0,0,1,1
C1=CNCC1,1,0,0,0,1,0,0,1
C1=CC=C2OCCOC2=C1,0,0,2,0,0,0,1,1
CC1=N[NH]C=N1,3,0,0,0,0,0,1,0
CC1=NN=C[NH]1,3,0,0,0,0,0,1,0
CCCC(N)=O,1,0,1,0,1,0,0,0
C1=COCCC1,0,0,1,0,1,0,0,1
C1CCNCC1,1,0,0,0,0,0,0,1
CC(=O)N1CCCCC1,1,0,1,0,1,0,0,1
C1=CCCCC1,0,0,0,0,1,0,0,1
CC1=CN=CC=N1,2,0,0,0,0,0,1,0
CC1CCCCN1,1,0,0,0,0,0,0,1
CC(=O)N(C)C,1,0,1,0,1,0,0,0
CC1=CC=CC=C1F,0,0,0,1,0,0,1,0
COC(C)=O,0,0,2,0,1,0,0,0
CC1CNCCO1,1,0,1,0,0,0,0,1
CC1=CC=CCN1,1,0,0,0,2,0,0,1
C1=CSCC1,0,1,0,0,1,0,0,1
C1=CCCN=C1,1,0,0,0,2,0,0,1
CC1=CC=C(N)C=C1,1,0,0,0,0,0,1,0
C1=CC2=CC=CN=C2C=C1,1,0,0,0,0,0,2,0
CCCNC,1,0,0,0,0,0,0,0
CN[SH](=O)=O,1,1,2,0,2,0,0,0
CCC1=CC=CC=C1,0,0,0,0,0,0,1,0
O=CCO,0,0,2,0,1,0,0,0
C1=CNCN1,2,0,0,0,1,0,0,1
C1CNSC1,1,1,0,0,0,0,0,1
CNC(C)C,1,0,0,0,0,0,0,0
C1=NCCNC1,2,0,0,0,1,0,0,1
CC1CCCNC1,1,0,0,0,0,0,0,1
C1=CSC=N1,1,1,0,0,0,0,1,0
CCNC(=O)CC,1,0,1,0,1,0,0,0
C1=COCC1,0,0,1,0,1,0,0,1
CC1=NN=CO1,2,0,1,0,0,0,1,0
NC(=O)CO,1,0,2,0,1,0,0,0
CC1=CCNC=N1,2,0,0,0,2,0,0,1
NCCO,1,0,1,0,0,0,0,0
C1=CCCC=C1,0,0,0,0,2,0,0,1
C=C,0,0,0,0,1,0,0,0
CNS(C)(=O)=O,1,1,2,0,2,0,0,0
CC1=CC=C(O)C=C1,0,0,1,0,0,0,1,0
ClC1=CC=CC(Cl)=C1,0,0,0,2,0,0,1,0
CC1=CC=NC=N1,2,0,0,0,0,0,1,0
C1=CON=C1,1,0,1,0,0,0,1,0
O=CN1CCCCC1,1,0,1,0,1,0,0,1
FC1=CC=C(F)C=C1,0,0,0,2,0,0,1,0
CC1CCOC1,0,0,1,0,0,0,0,1
NC1=CC=NC=C1,2,0,0,0,0,0,1,0
CC1=NC=CC=N1,2,0,0,0,0,0,1,0
CCCNC(C)=O,1,0,1,0,1,0,0,0
CN(C)C=O,1,0,1,0,1,0,0,0
C1=CNNC1,2,0,0,0,1,0,0,1
C1COCN1,1,0,1,0,0,0,0,1
NC(=O)CS,1,1,1,0,1,0,0,0
CC(=O)N1CCNCC1,2,0,1,0,1,0,0,1
O=C1NCCN1,2,0,1,0,1,0,0,1
N[SH]=O,1,1,1,0,1,0,0,0
C1=CC=C2NCCC2=C1,1,0,0,0,0,0,1,1
CNCC(N)=O,2,0,1,0,1,0,0,0
C1=CCCC1,0,0,0,0,1,0,0,1
C1COCO1,0,0,2,0,0,0,0,1
C1=C[NH]C=C1,1,0,0,0,0,0,1,0
NC1=CN=CN=C1,3,0,0,0,0,0,1,0
CN1C=CCNC1,2,0,0,0,1,0,0,1
C1=COC=CC1,0,0,1,0,2,0,0,1
CC1=NC=CC=C1,1,0,0,0,0,0,1,0
O=C1NC=CCN1,2,0,1,0,2,0,0,1
C1=NC=NC=N1,3,0,0,0,0,0,1,0
CC1=NC=C[NH]1,2,0,0,0,0,0,1,0
CCCC=O,0,0,1,0,1,0,0,0
CC1=CC=CC(N)=C1,1,0,0,0,0,0,1,0
C1=NN=N[NH]1,4,0,0,0,0,0,1,0
CN1C=CN=N1,3,0,0,0,0,0,1,0
C1=NNCN1,3,0,0,0,1,0,0,1
C1=CSCN1,1,1,0,0,1,0,0,1
ClC1=CC=CN=C1,1,0,0,1,0,0,1,0
CC1=CN=CS1,1,1,0,0,0,0,1,0
C1CSCN1,1,1,0,0,0,0,0,1
C1CSCCN1,1,1,0,0,0,0,0,1
C1=CCOC=C1,0,0,1,0,2,0,0,1
CC1=CC=CC=C1N,1,0,0,0,0,0,1,0
C1=NN=CS1,2,1,0,0,0,0,1,0
CCCC(=O)NC,1,0,1,0,1,0,0,0
CCNS,1,1,0,0,0,0,0,0
OC1CCCC1,0,0,1,0,0,0,0,1
NCC(=O)O,1,0,2,0,1,0,0,0
C1=COC=N1,1,0,1,0,0,0,1,0
CC1=CCNCN1,2,0,0,0,1,0,0,1
CC1CCOCC1,0,0,1,0,0,0,0,1
C1=NN=CO1,2,0,1,0,0,0,1,0
CC1=CCNC=C1,1,0,0,0,2,0,0,1
CCOC1=CC=CC=C1,0,0,1,0,0,0,1,0
CC1=CNCC=C1,1,0,0,0,2,0,0,1
CCNC(=O)CN,2,0,1,0,1,0,0,0
C1=NCCN=C1,2,0,0,0,2,0,0,1
CC1=CSC(C)=N1,1,1,0,0,0,0,1,0
OC1CCCCC1,0,0,1,0,0,0,0,1
C1=CC=C2SC=NC2=C1,1,1,0,0,0,0,2,0
CC1=CC=CC=C1O,0,0,1,0,0,0,1,0
CC1=NN=CS1,2,1,0,0,0,0,1,0
C1=CCNC1,1,0,0,0,1,0,0,1
CC1=C[NH]C=N1,2,0,0,0,0,0,1,0
CC1=CC=C(C)O1,0,0,1,0,0,0,1,0
NC1=CCNCN1,3,0,0,0,1,0,0,1
C1=CC2=NN=CN2C=C1,3,0,0,0,0,0,2,0
C1CCOCC1,0,0,1,0,0,0,0,1
CC1=NCNC=C1,2,0,0,0,2,0,0,1
C1=NNCC1,2,0,0,0,1,0,0,1
SN1CCCCC1,1,1,0,0,0,0,0,1
C1=NCCS1,1,1,0,0,1,0,0,1
O=CN1CCNCC1,2,0,1,0,1,0,0,1
C1=CC=C2CNCCC2=C1,1,0,0,0,0,0,1,1
NC1=NC=CC=C1,2,0,0,0,0,0,1,0
CC(C)NC=O,1,0,1,0,1,0,0,0
C1COCCO1,0,0,2,0,0,0,0,1
CN1CCN(C)CC1,2,0,0,0,0,0,0,1
C1=CC=C2CCCCC2=C1,0,0,0,0,0,0,1,1
FC1=C(F)C=CC=C1,0,0,0,2,0,0,1,0
C1=NN=CNC1,3,0,0,0,2,0,0,1
CN1CCCC1=O,1,0,1,0,1,0,0,1
CCN(C)C=O,1,0,1,0,1,0,0,0
CNCC=O,1,0,1,0,1,0,0,0
C1=NC=NCC1,2,0,0,0,2,0,0,1
CC(=O)NC(C)C,1,0,1,0,1,0,0,0
C1CNCCOC1,1,0,1,0,0,0,0,1
CNC(=O)CO,1,0,2,0,1,0,0,0
NCCC=O,1,0,1,0,1,0,0,0
CCCNC=O,1,0,1,0,1,0,0,0
CCCO,0,0,1,0,0,0,0,0
CC1=NN(C)C(C)=C1,2,0,0,0,0,0,1,0
C1CNCCN1,2,0,0,0,0,0,0,1
O=CCS,0,1,1,0,1,0,0,0
O=C1NCCO1,1,0,2,0,1,0,0,1
O=[SH](=O)C1=CC=CC=C1,0,1,2,0,2,0,1,0
O=C1CCNCN1,2,0,1,0,1,0,0,1
FC1=CC(Cl)=CC=C1,0,0,0,2,0,0,1,0
COCC=O,0,0,2,0,1,0,0,0
NC(=O)NC1=CC=CC=C1,2,0,1,0,1,0,1,0
CBr,0,0,0,1,0,0,0,0
O=C1[NH]C=N[NH]1,3,0,1,0,1,0,1,0
CNCC1=CC=CC=C1,1,0,0,0,0,0,1,0
CC1=CC=C(F)C=C1,0,0,0,1,0,0,1,0
NCCC(N)=O,2,0,1,0,1,0,0,0
C1CN=NNC1,3,0,0,0,1,0,0,1
NC1=C[NH]N=C1,3,0,0,0,0,0,1,0
CC(=O)N1CCCC1,1,0,1,0,1,0,0,1
SC1=CC=CC=N1,1,1,0,0,0,0,1,0
CCN(C)C(C)=O,1,0,1,0,1,0,0,0
C1=NNCS1,2,1,0,0,1,0,0,1
C1=CNN=CC1,2,0,0,0,2,0,0,1
CC1=CC(N)=CC=C1,1,0,0,0,0,0,1,0
NC1=NN=CS1,3,1,0,0,0,0,1,0
CCN1CCNCC1,2,0,0,0,0,0,0,1
CC1=CN=CC=C1,1,0,0,0,0,0,1,0
NC1=CC=NC=N1,3,0,0,0,0,0,1,0
CC1=C[NH]C=C1,1,0,0,0,0,0,1,0
O=C1C=CNCC1,1,0,1,0,2,0,0,1
CC1CCCN1,1,0,0,0,0,0,0,1
CN1CCCCCC1,1,0,0,0,0,0,0,1
COCC(N)=O,1,0,2,0,1,0,0,0
CN(C)S,1,1,0,0,0,0,0,0
CC1=CC(F)=CC=C1,0,0,0,1,0,0,1,0
C1=CC=C2OCCC2=C1,0,0,1,0,0,0,1,1
CC1=NC=CCN1,2,0,0,0,2,0,0,1
CC1=CC=C(S)C=C1,0,1,0,0,0,0,1,0
COC(N)=O,1,0,2,0,1,0,0,0
C1=NNCCN1,3,0,0,0,1,0,0,1
NC1=CC=N[NH]1,3,0,0,0,0,0,1,0
CC1=CC=CC=C1Cl,0,0,0,1,0,0,1,0
NC(=O)O,1,0,2,0,1,0,0,0
FC1=CC=CC=C1Cl,0,0,0,2,0,0,1,0
OC1=CC=CN=C1,1,0,1,0,0,0,1,0
C1=CCNC=C1,1,0,0,0,2,0,0,1
C1CC2CCC1C2,0,0,0,0,0,0,0,2
S,0,1,0,0,0,0,0,0
CNCC(=O)NC,2,0,1,0,1,0,0,0
CC1CC=CCC1,0,0,0,0,1,0,0,1
CC1=C(C)C=CC=C1,0,0,0,0,0,0,1,0
CCOC=O,0,0,2,0,1,0,0,0
C1=CC=NN=C1,2,0,0,0,0,0,1,0
CCNC(=O)C1=CC=CC=C1,1,0,1,0,1,0,1,0
CCC(=O)O,0,0,2,0,1,0,0,0
CC1=NNCC=C1,2,0,0,0,2,0,0,1
ClC1=CC=CC=C1Cl,0,0,0,2,0,0,1,0
C1=CN=CC=N1,2,0,0,0,0,0,1,0
O=C1CCN=CN1,2,0,1,0,2,0,0,1
CC1=NC=NC=C1,2,0,0,0,0,0,1,0
C=N,1,0,0,0,1,0,0,0
CNC(=O)CS,1,1,1,0,1,0,0,0
CC1=CC=CC(F)=C1,0,0,0,1,0,0,1,0
C1=CSN=C1,1,1,0,0,0,0,1,0
C1=CNCCN1,2,0,0,0,1,0,0,1
O=CN1CCCC1,1,0,1,0,1,0,0,1
SC1=CC=CS1,0,2,0,0,0,0,1,0
C1=CCN=C1,1,0,0,0,2,0,0,1
CCCOC,0,0,1,0,0,0,0,0
CC1=NNCC1,2,0,0,0,1,0,0,1
CC1=CC(Cl)=CC=C1,0,0,0,1,0,0,1,0
CCOC(C)=O,0,0,2,0,1,0,0,0
C1=CNC=NC1,2,0,0,0,2,0,0,1
C1=CC2=NC=CN2C=C1,2,0,0,0,0,0,2,0
C1=NCNCC1,2,0,0,0,1,0,0,1
C1=CC=C2[NH]N=CC2=C1,2,0,0,0,0,0,2,0
C1CCCNCC1,1,0,0,0,0,0,0,1
O=C1C=CCCN1,1,0,1,0,2,0,0,1
CC1=CN=CO1,1,0,1,0,0,0,1,0
C1=CC=C2OC=CC2=C1,0,0,1,0,0,0,2,0
NCCN,2,0,0,0,0,0,0,0
C1=NOC=N1,2,0,1,0,0,0,1,0
CC1=CC=NN1C,2,0,0,0,0,0,1,0
CC1=CC=CC(O)=C1,0,0,1,0,0,0,1,0
OCC1=CC=CC=C1,0,0,1,0,0,0,1,0
C1CNCCNC1,2,0,0,0,0,0,0,1
CN1C=CCC1,1,0,0,0,1,0,0,1
C1COCCN1,1,0,1,0,0,0,0,1
C1=N[NH]N=N1,4,0,0,0,0,0,1,0
NC1=NC=NC=C1,3,0,0,0,0,0,1,0
CC(N)C=O,1,0,1,0,1,0,0,0
CN1C=CC=CC1=O,1,0,1,0,1,0,1,0
NC1CCOCC1,1,0,1,0,0,0,0,1
C1=NNCO1,2,0,1,0,1,0,0,1
CC(=O)N1CCN(C)CC1,2,0,1,0,1,0,0,1
CN1CC=CNC1,2,0,0,0,1,0,0,1
C1=NNCNC1,3,0,0,0,1,0,0,1
CC1=C(C)SC=N1,1,1,0,0,0,0,1,0
C1CNN=N1,3,0,0,0,1,0,0,1
CN1CCC=N1,2,0,0,0,1,0,0,1
CNC1=CC=C(C)C=C1,1,0,0,0,0,0,1,0
C1=NCCO1,1,0,1,0,1,0,0,1
O=C1CCCCCN1,1,0,1,0,1,0,0,1
CC1=NCCN1,2,0,0,0,1,0,0,1
CC1=CC(C)=CC(C)=C1,0,0,0,0,0,0,1,0
NC1=N[NH]C=N1,4,0,0,0,0,0,1,0
C1=CC=C2COCC2=C1,0,0,1,0,0,0,1,1
CC1CNCC(C)O1,1,0,1,0,0,0,0,1
CN1CC=CCC1,1,0,0,0,1,0,0,1
C1=N[NH]N=C1,3,0,0,0,0,0,1,0
CS(C)(=O)=O,0,1,2,0,2,0,0,0
FC1=CC=CC(Cl)=C1,0,0,0,2,0,0,1,0
C1CCC1,0,0,0,0,0,0,0,1
CN1C=NCC1,2,0,0,0,1,0,0,1
C1=CC=C2OCCCC2=C1,0,0,1,0,0,0,1,1
COCCN,1,0,1,0,0,0,0,0
CC1=CC(O)=CC=C1,0,0,1,0,0,0,1,0
CC(=O)NCCN,2,0,1,0,1,0,0,0
CC[SH](=O)=O,0,1,2,0,2,0,0,0
C1=CN=CCC1,1,0,0,0,2,0,0,1
CCNC1=CC=CC=C1,1,0,0,0,0,0,1,0
CC1=CC=C(C=O)C=C1,0,0,1,0,1,0,1,0
C1=NSCC1,1,1,0,0,1,0,0,1
CN1CC=CC=N1,2,0,0,0,2,0,0,1
CC1=CC=C(C)S1,0,1,0,0,0,0,1,0
CC1=NOC(C)=N1,2,0,1,0,0,0,1,0
SC1=NC=N[NH]1,3,1,0,0,0,0,1,0
BrC1=CC=CN=C1,1,0,0,1,0,0,1,0
C1=COCCN1,1,0,1,0,1,0,0,1
CNCCN,2,0,0,0,0,0,0,0
NS(N)(=O)=O,2,1,2,0,2,0,0,0
CC(C)S,0,1,0,0,0,0,0,0
CC1CCN(C)CC1,1,0,0,0,0,0,0,1
CC(O)CN,1,0,1,0,0,0,0,0
CCC(=O)NC1=CC=CC=C1,1,0,1,0,1,0,1,0
CCCNC(N)=O,2,0,1,0,1,0,0,0
C1=NON=C1,2,0,1,0,0,0,1,0
SN1CCCC1,1,1,0,0,0,0,0,1
CCN[SH](=O)=O,1,1,2,0,2,0,0,0
CC1=NC=N[NH]1,3,0,0,0,0,0,1,0
CNC(=O)CCN,2,0,1,0,1,0,0,0
OS,0,1,1,0,0,0,0,0
CC1=CCCN1,1,0,0,0,1,0,0,1
CC1CNCCN1,2,0,0,0,0,0,0,1
O=C1NCCCN1,2,0,1,0,1,0,0,1
NS(=O)(=O)C1=CC=CC=C1,1,1,2,0,2,0,1,0
CNC1=NC=CS1,2,1,0,0,0,0,1,0
CN1C=CC=CC1,1,0,0,0,2,0,0,1
CSCC=O,0,1,1,0,1,0,0,0
C1=CC=C2NCCCC2=C1,1,0,0,0,0,0,1,1
CC1=CC=CN=N1,2,0,0,0,0,0,1,0
C1=CSN=N1,2,1,0,0,0,0,1,0
O=C1CCCO1,0,0,2,0,1,0,0,1
CC1=CC=C(Cl)C=C1,0,0,0,1,0,0,1,0
CCC(C)=O,0,0,1,0,1,0,0,0
SN1CCNCC1,2,1,0,0,0,0,0,1
O=C1C=CCCC1,0,0,1,0,2,0,0,1
CC(=O)CN,1,0,1,0,1,0,0,0
CC(C)NC(N)=O,2,0,1,0,1,0,0,0
NC1=CN=CC=N1,3,0,0,0,0,0,1,0
CN1CCN(C=O)CC1,2,0,1,0,1,0,0,1
OC1CCCNC1,1,0,1,0,0,0,0,1
CCNS(C)(=O)=O,1,1,2,0,2,0,0,0
CC(=O)NCC=O,1,0,2,0,2,0,0,0
NC1=CC=CC(Cl)=C1,1,0,0,1,0,0,1,0
CC1CCCN(C)C1,1,0,0,0,0,0,0,1
C1=CNCC=N1,2,0,0,0,2,0,0,1
OC1CCNCC1,1,0,1,0,0,0,0,1
C1=COCCO1,0,0,2,0,1,0,0,1
C1CCCCCC1,0,0,0,0,0,0,0,1
C1=NOCC1,1,0,1,0,1,0,0,1
CSCC(N)=O,1,1,1,0,1,0,0,0
CCN1CCN(C)CC1,2,0,0,0,0,0,0,1
NC1=CC(Cl)=CC=C1,1,0,0,1,0,0,1,0
SN1CCOCC1,1,1,1,0,0,0,0,1
CC(=O)NCC1=CC=CC=C1,1,0,1,0,1,0,1,0
CC1=C(Cl)C=CC=C1,0,0,0,1,0,0,1,0
C1C2CC3CC1CC(C2)C3,0,0,0,0,0,0,0,4
CNC(=O)NC1=CC=CC=C1,2,0,1,0,1,0,1,0
O=C1CCCCC1,0,0,1,0,1,0,0,1
C1=COCO1,0,0,2,0,1,0,0,1
CC1=C(N)C=CC=C1,1,0,0,0,0,0,1,0
COC(C)C,0,0,1,0,0,0,0,0
C1CC1,0,0,0,0,0,0,0,1
C1CCCCC1,0,0,0,0,0,0,0,1
CC1CCCCO1,0,0,1,0,0,0,0,1
CC1=CNCS1,1,1,0,0,1,0,0,1
C1CNCOC1,1,0,1,0,0,0,0,1
CC(=O)C1=CC=CC=C1,0,0,1,0,1,0,1,0
NC1=CC=C(O)C=C1,1,0,1,0,0,0,1,0
CC1=CC=C(C(N)=O)C=C1,1,0,1,0,1,0,1,0
O=CC1=CC=CS1,0,1,1,0,1,0,1,0
COC1=CC=C(C)C=C1,0,0,1,0,0,0,1,0
CC1=NN=N[NH]1,4,0,0,0,0,0,1,0
ClC1=C[NH]N=C1,2,0,0,1,0,0,1,0
NC(=O)CNC=O,2,0,2,0,2,0,0,0
CCCCN,1,0,0,0,0,0,0,0
CC1COCCN1,1,0,1,0,0,0,0,1
OC1CCOC1,0,0,2,0,0,0,0,1
C1=NOCN1,2,0,1,0,1,0,0,1
CC1=NC=CO1,1,0,1,0,0,0,1,0
O=CN1CCOCC1,1,0,2,0,1,0,0,1
C1=NSCCN1,2,1,0,0,1,0,0,1
CC1=CC(C)=NC=N1,2,0,0,0,0,0,1,0
CCNC(=O)NCC,2,0,1,0,1,0,0,0
CCN1C=CC=N1,2,0,0,0,0,0,1,0
CNC(=O)COC,1,0,2,0,1,0,0,0
NC1=CC=CC=C1O,1,0,1,0,0,0,1,0
CC1=CC=CC(=O)[NH]1,1,0,1,0,1,0,1,0
CCNCC,1,0,0,0,0,0,0,0
NC1=N[NH]C=C1,3,0,0,0,0,0,1,0
CC(N)C(N)=O,2,0,1,0,1,0,0,0
CCN1CCOCC1,1,0,1,0,0,0,0,1
CC1=CN=CN=C1,2,0,0,0,0,0,1,0
OC1=CC=CC=N1,1,0,1,0,0,0,1,0
C1=COC=C1,0,0,1,0,0,0,1,0
CN(C)C(N)=O,2,0,1,0,1,0,0,0
O=C1CCC=CN1,1,0,1,0,2,0,0,1
CC1CCCN1C,1,0,0,0,0,0,0,1
CNC(=O)N(C)C,2,0,1,0,1,0,0,0
C1=NN=C2CCCCCN12,3,0,0,0,0,0,1,1
CN1CCCCC1=O,1,0,1,0,1,0,0,1
CC1=CSCN1,1,1,0,0,1,0,0,1
NCC1=NC=NO1,3,0,1,0,0,0,1,0
