0,nN,nS,nO,nX,nBondsD,nBondsT,naRing,nARing
id1231,1,1,0,1,0,0,1,0
id1313,1,0,1,1,1,0,1,0
id1322,1,1,1,1,1,0,1,0
id1332,0,0,1,1,1,0,1,0
id1338,1,1,1,0,1,1,1,1
id1345,0,1,1,1,1,0,1,1
id1357,1,1,0,1,0,0,1,0
id1371,0,1,1,0,1,0,1,0
id1375,0,1,1,0,1,0,1,0
id1377,0,0,1,0,1,0,1,0
id1379,0,1,1,0,1,0,1,0
id1381,1,1,0,1,0,0,1,0
id1387,0,1,1,0,1,0,1,1
id1389,1,0,1,0,1,0,0,1
id1391,0,1,1,0,1,0,1,1
id1396,1,0,1,1,1,0,1,1
id1399,1,1,1,0,0,0,1,0
id1400,1,1,1,0,1,0,1,1
id1415,1,0,1,1,1,0,1,0
id1426,1,0,1,0,1,1,1,0
id1431,0,1,1,0,0,0,1,0
id1469,1,1,1,1,1,0,1,1
id1472,1,1,1,1,1,0,1,1
id1495,1,1,1,0,1,1,1,0
id1496,1,0,1,0,0,1,1,0
id1512,1,0,0,1,0,0,1,1
id1524,1,0,1,1,0,1,1,1
id1529,1,1,0,0,0,1,1,1
id1534,1,0,0,1,0,1,1,0
id1539,1,1,1,0,1,1,1,1
id1540,1,1,1,1,0,0,1,1
id1593,1,1,1,1,1,0,1,1
id1600,1,1,1,0,1,0,1,1
id1613,0,0,1,0,1,0,1,0
id1614,0,0,1,0,1,0,1,0
id1615,0,0,1,0,1,0,1,0
id1628,0,0,1,0,1,0,1,1
id1646,1,1,1,1,1,0,1,1
id1651,0,0,1,0,1,0,1,0
id1653,0,0,1,0,1,0,1,0
id1654,0,0,1,0,1,0,1,0
id1655,0,0,1,0,1,0,1,0
id1656,0,0,1,0,1,0,1,0
id1659,0,0,1,0,1,0,1,0
id1660,0,0,1,0,1,0,1,0
id1661,0,0,1,0,1,0,1,0
id1662,0,0,1,0,1,0,1,0
id1668,1,0,1,0,0,1,1,1
id1670,1,0,1,1,0,0,1,0
id1671,1,0,1,1,1,0,1,1
id1675,1,0,1,1,1,0,1,1
id1689,0,1,1,0,1,0,1,0
id1695,1,0,0,1,0,1,1,0
id1696,1,1,1,1,1,0,1,0
id1700,1,0,1,1,0,0,1,0
id1704,1,1,1,1,1,0,1,0
id1716,1,0,1,1,0,0,1,1
id1723,0,0,1,1,1,0,1,0
id1734,1,1,0,0,1,0,1,1
id1742,1,1,0,0,0,0,1,0
id1751,0,0,1,1,1,0,1,0
id1756,1,0,1,0,0,1,1,0
id1757,0,0,1,0,1,0,1,0
id1758,0,0,1,0,1,0,1,0
id1784,1,0,0,1,0,0,1,1
id1786,1,1,1,0,1,1,1,0
id1805,1,0,1,0,0,1,1,0
id1818,1,0,0,0,0,0,1,0
id1820,0,0,1,0,1,0,1,0
id1830,0,0,1,0,1,0,1,1
id1831,0,0,1,0,1,0,1,1
id1832,0,0,1,0,1,0,1,0
id1833,0,0,1,0,1,0,1,0
id1834,0,0,1,0,1,0,1,0
id1841,0,1,1,0,1,0,1,0
id1842,0,1,1,0,1,0,1,0
id1843,1,0,1,1,0,0,1,0
id1844,1,0,1,1,0,0,1,0
id1855,0,0,1,0,1,0,1,1
id1856,0,0,1,0,1,0,1,0
id1861,1,1,1,0,1,1,1,1
id1866,0,0,1,0,1,0,1,0
id1867,0,0,1,0,1,0,1,0
id1880,0,0,1,0,0,0,1,1
id1885,0,0,1,0,1,0,1,1
id1890,1,1,0,0,0,0,1,0
id1906,0,0,1,0,1,0,1,1
id1918,1,0,1,1,1,0,1,0
id1924,0,0,1,1,1,0,1,0
id1942,0,0,1,0,1,0,1,0
id1945,1,0,1,0,1,0,1,1
id1956,1,0,0,0,0,0,1,0
id1963,0,0,1,0,0,0,1,1
id1976,0,0,1,0,1,0,1,0
id1994,0,0,1,0,1,0,1,1
id2001,1,0,1,0,1,0,1,1
id2010,0,0,1,0,1,0,1,0
id2012,1,0,1,0,0,1,1,0
id2014,1,1,1,0,1,1,1,0
id2031,1,0,1,1,1,1,1,0
id2034,0,1,1,0,0,0,1,0
id2036,0,0,1,0,1,0,1,1
id2037,0,0,1,0,1,0,1,1
id2038,0,0,1,0,1,0,1,0
id2044,0,0,1,0,0,0,1,1
id2065,1,0,1,0,0,0,1,1
id2098,0,0,1,0,1,0,1,0
id2107,0,0,1,0,1,0,1,0
id2110,1,1,1,0,1,1,1,0
id2138,1,1,1,1,0,0,1,0
id2141,1,0,1,0,0,1,1,0
id2148,1,1,1,0,1,1,1,0
id2151,1,1,1,1,1,1,1,0
id2154,1,1,0,0,0,1,1,0
id2168,1,0,0,1,0,0,1,1
id2172,1,0,0,1,0,0,1,1
id2177,1,0,1,1,1,1,1,0
id2203,1,1,1,1,0,0,1,1
id2238,1,0,1,0,1,0,1,1
id2254,1,1,1,1,1,1,1,0
id2260,1,1,1,1,0,0,1,0
id2265,0,0,1,0,1,0,1,0
id2266,0,1,1,0,1,0,1,0
id2269,1,1,0,0,0,1,1,0
id2273,1,1,1,0,1,1,1,0
id2275,1,1,1,1,1,1,1,0
id2276,1,1,1,1,1,1,1,0
id2281,1,1,0,1,0,1,1,0
id2295,0,0,1,0,1,0,1,0
id2309,0,0,1,0,1,0,1,1
id2329,1,1,1,1,0,1,1,0
id2336,1,1,1,0,1,1,1,0
id2346,1,0,1,0,1,0,0,1
id2356,1,0,0,0,0,0,1,0
id2363,1,1,1,0,1,1,1,0
id2366,1,1,1,0,1,1,1,0
id2376,0,0,1,0,1,0,1,0
id2379,1,0,1,0,1,0,1,1
id2382,0,0,1,1,1,0,1,0
id2388,1,0,1,0,0,0,1,0
id2399,1,1,1,1,1,1,1,0
id2404,0,0,1,0,1,0,1,0
id2417,1,0,0,0,0,0,1,0
id2436,0,0,1,0,1,0,1,0
id2440,1,1,1,1,1,0,1,0
id2443,1,1,0,0,0,0,1,0
id2457,1,1,1,0,1,0,1,1
id2476,1,1,1,0,1,1,1,0
id2478,1,0,1,0,1,1,1,0
id2480,0,0,1,0,0,0,1,1
id2489,1,1,0,0,0,0,1,0
id2492,1,1,0,1,0,1,1,0
id2493,0,0,1,0,1,0,1,0
id2494,0,0,1,0,1,0,1,0
id2508,1,0,1,0,1,0,0,1
id2521,0,0,1,0,1,0,1,0
id2529,0,0,1,1,1,0,1,1
id2532,0,0,1,0,1,0,1,1
id2545,1,0,1,0,1,0,1,1
id2548,1,0,1,0,0,0,1,0
id2559,1,0,0,1,0,0,1,0
id2582,1,1,1,0,1,1,1,0
id2586,1,1,1,0,1,1,1,0
id2587,1,0,1,0,1,1,1,0
id2608,0,0,1,0,1,0,1,0
id2609,1,0,1,0,0,0,1,0
id2620,1,0,1,0,0,1,1,0
id2645,1,1,1,0,1,1,1,0
id2658,1,1,1,0,1,0,1,1
id2667,1,0,0,0,1,0,1,1
id2679,1,0,1,1,0,0,1,0
id2680,1,0,1,1,1,0,1,0
id2692,1,1,0,1,0,0,1,0
id2699,1,0,1,1,1,0,1,0
id2707,1,0,0,0,1,1,1,1
id2714,1,0,0,1,0,0,1,1
id2718,0,0,1,1,0,0,1,0
id2729,1,0,1,0,0,0,1,0
id2733,1,1,1,0,1,1,1,0
id2737,1,1,0,1,0,0,1,0
id2738,1,1,0,1,0,0,1,0
id2761,0,0,1,1,1,0,1,0
id2762,0,0,1,0,1,0,1,0
id2763,0,0,1,0,1,0,1,0
id2766,1,0,1,1,1,0,1,0
id2782,1,1,1,0,1,1,1,0
id2788,1,0,0,0,0,0,1,0
id2791,1,0,1,0,0,1,1,1
id2798,1,0,0,0,0,0,1,0
id2810,1,0,1,0,0,1,1,0
id2811,1,0,0,0,0,1,1,0
id2831,0,0,1,0,1,0,1,0
id2833,0,0,1,0,1,0,1,0
id2843,0,0,1,0,1,0,1,0
id2844,0,0,1,0,1,0,1,1
id2849,1,0,1,1,1,0,1,0
id2851,0,0,1,0,1,0,1,0
id2852,1,0,1,0,1,0,0,1
id2855,0,0,1,1,1,0,1,0
id2856,0,1,1,0,1,0,1,0
id2857,0,0,1,1,1,0,1,0
id2860,0,0,1,0,1,0,0,1
id2863,0,0,1,0,1,0,1,0
id2874,1,0,1,0,0,0,1,1
id2879,1,0,1,0,0,0,1,1
id2881,1,0,1,0,0,0,1,1
id2888,0,0,1,0,1,0,1,0
id2889,0,0,1,1,1,0,1,0
id2890,0,0,1,0,1,0,1,0
id2891,0,0,1,1,1,0,1,0
id2892,0,0,1,1,1,0,1,0
id2897,0,0,1,0,1,0,1,0
id2898,0,0,1,0,1,0,1,0
id2899,0,0,1,0,1,0,1,0
id2900,0,0,1,0,1,0,1,0
id2901,0,0,1,0,1,0,1,0
id2902,0,0,1,0,1,0,1,0
id2903,0,0,1,0,1,0,1,0
id2904,0,0,1,0,1,0,1,0
id2905,0,0,1,0,1,0,1,0
id2906,0,0,1,0,1,0,1,0
id2907,0,0,1,0,1,0,1,0
id2908,0,0,1,0,1,0,1,0
id2909,0,0,1,0,1,0,1,0
id2910,0,0,1,0,1,0,1,0
id2911,0,0,1,0,1,0,1,0
id2912,0,0,1,0,1,0,1,0
id2915,0,0,1,1,1,0,1,0
id2916,0,0,1,0,1,0,1,0
id2917,0,0,1,0,1,0,1,0
id2919,0,0,1,0,1,0,1,1
id2920,0,0,1,0,1,0,1,1
id2922,0,0,1,0,1,0,1,0
id2923,0,0,1,0,1,0,1,0
id2924,0,0,1,0,1,0,1,0
id2928,0,0,1,1,1,0,1,0
id2929,0,0,1,0,1,0,1,0
id2930,0,0,1,0,1,0,1,0
id2931,0,0,1,0,1,0,1,1
id2932,0,0,1,0,1,0,1,1
id2933,0,0,1,0,1,0,1,0
id2934,0,0,1,0,1,0,1,0
id2935,0,0,1,0,1,0,1,1
id2936,0,0,1,0,1,0,1,1
id2938,0,0,1,0,1,0,1,0
id2939,0,0,1,0,1,0,1,0
id2940,0,0,1,0,1,0,1,1
id2941,0,0,1,0,1,0,1,1
id2942,0,0,1,1,1,0,1,0
id2943,0,0,1,0,1,0,1,1
id2944,0,0,1,0,1,0,1,1
id2945,1,0,1,1,1,1,1,0
id2946,1,0,1,1,1,1,1,0
id2947,0,0,1,0,1,0,1,1
id2948,0,0,1,1,1,0,1,0
id2949,0,0,1,1,1,0,1,0
id2950,0,0,1,1,1,0,1,0
id2951,0,0,1,0,1,0,1,0
id2952,0,0,1,0,1,0,1,0
id2953,0,0,1,0,1,0,1,0
id2954,0,0,1,0,1,0,1,0
id2955,0,0,1,0,1,0,1,0
id2958,0,0,1,1,1,0,1,0
id2959,0,0,1,1,1,0,1,0
id2967,1,0,0,1,0,1,1,0
id2969,1,1,0,1,0,1,1,0
id2970,1,1,1,0,1,1,1,0
id2973,1,1,1,0,1,1,1,0
id2980,1,1,1,0,1,1,1,0
id2981,1,1,1,1,1,1,1,0
id2988,1,1,1,1,1,0,1,1
id2996,0,0,1,0,1,0,1,0
id3000,0,0,1,0,1,0,1,1
id3031,1,0,1,1,1,0,1,1
id3055,1,0,1,1,0,0,1,0
id3060,1,1,0,1,0,0,1,0
id3066,1,0,0,1,0,0,1,0
id3068,1,1,1,1,1,0,1,0
id3069,1,0,1,1,0,0,1,0
id3071,1,1,0,0,0,1,1,0
id3075,1,1,0,0,0,1,1,0
id3087,1,0,1,0,0,0,1,1
id3096,1,1,1,0,1,1,1,0
id3109,0,0,1,0,1,0,1,1
id3114,0,0,1,1,1,0,1,1
id3119,0,0,1,0,1,0,1,0
id3122,0,0,1,1,1,0,1,1
id3126,1,1,1,0,1,1,1,0
id3133,1,0,1,1,1,0,1,0
id3148,0,0,1,1,1,0,1,0
id3155,1,1,0,0,0,1,1,0
id3161,1,1,0,0,0,0,1,0
id3168,1,0,1,0,0,0,1,0
id3175,1,0,0,1,0,1,1,0
id3182,1,1,1,1,1,0,1,0
id3191,1,1,0,1,0,0,1,0
id3199,1,0,1,1,0,0,1,1
id3200,1,0,1,1,1,0,0,1
id3205,1,0,1,0,1,1,1,0
id3218,0,0,1,0,1,0,1,1
id3219,0,0,1,1,1,0,1,1
id3220,0,0,1,0,1,0,1,1
id3221,0,0,1,0,1,0,1,1
id3237,1,1,1,0,1,1,1,0
id3264,1,1,1,0,1,1,1,1
id3266,1,0,1,0,1,1,1,0
id3298,1,0,1,0,1,0,1,1
id3302,1,0,1,1,0,1,1,1
id3303,1,0,1,1,0,1,1,1
id3304,1,0,1,0,0,1,1,1
id3305,1,0,1,0,0,1,1,1
id3306,1,0,1,0,0,1,1,1
id3311,1,1,1,1,1,0,1,1
id3319,1,1,0,0,0,0,1,0
id3326,0,1,1,0,1,0,1,1
id3327,1,1,0,1,0,0,1,0
id3333,1,0,1,1,1,0,1,1
id3334,1,1,0,0,0,0,1,0
id3336,1,1,0,0,0,0,1,0
id3340,1,1,0,0,0,0,1,0
id3343,1,0,1,1,0,0,1,1
id3351,1,0,1,0,0,0,1,0
id3358,1,1,0,0,0,0,1,0
id3370,1,1,1,0,1,0,1,1
id3385,1,1,1,0,1,1,1,0
id3389,1,1,0,0,0,0,1,0
id3390,1,1,0,1,0,0,1,0
id3400,1,1,1,0,0,1,1,1
id3402,1,1,1,0,0,1,1,1
id3403,0,0,1,1,1,0,1,0
id3407,0,0,1,1,1,0,1,0
id3451,1,0,1,1,1,0,1,0
id3455,0,1,1,1,1,0,1,0
id3459,1,0,1,1,1,0,1,0
id3470,1,0,1,1,1,0,1,0
id3488,1,0,0,1,0,0,1,0
id3489,1,0,1,1,0,0,1,0
id3496,1,1,1,1,1,0,1,0
id3509,1,0,1,0,1,0,1,1
id3513,1,1,1,0,1,1,1,1
id3519,1,0,0,1,0,0,1,0
id3520,1,0,0,0,0,0,1,0
id3522,1,0,0,1,0,0,1,0
id3526,1,0,0,0,0,0,1,0
id3537,1,0,1,1,1,0,0,1
id3557,1,0,1,0,0,0,1,0
id3559,1,0,1,0,0,0,1,0
id3561,1,0,1,1,0,0,1,0
id3596,1,1,1,0,1,1,1,1
id3606,0,0,1,0,1,0,1,1
id3607,0,0,1,0,1,0,1,0
id3620,1,0,1,0,0,0,1,1
id3628,0,0,1,0,1,0,1,0
id3629,0,0,1,0,1,0,1,0
id3642,1,0,1,0,1,0,1,1
id3643,1,1,1,0,0,0,1,0
id3672,1,0,1,0,0,1,1,1
id3676,1,0,1,1,0,0,1,0
id3688,1,0,0,1,1,0,1,1
id3689,1,0,0,1,1,0,1,1
id3690,1,0,0,0,1,0,1,1
id3691,1,0,0,0,1,0,1,1
id3692,1,0,1,0,0,1,1,1
id3706,0,0,1,1,1,0,1,0
id3718,1,1,1,1,0,0,1,1
id3729,1,1,0,0,0,0,1,0
id3743,0,0,1,0,1,0,1,0
id3744,0,0,1,0,1,0,1,0
id3745,0,0,1,0,1,0,1,0
id3748,0,0,1,1,1,0,1,0
id3757,1,1,0,0,0,1,1,0
id3758,1,1,1,0,0,0,1,1
id3771,1,1,0,0,0,0,1,0
id3778,1,0,0,1,0,0,1,0
id3786,0,0,1,1,1,0,1,0
id3795,1,1,1,0,1,0,1,1
id3803,0,1,1,1,1,0,1,0
id3805,1,1,1,1,1,0,1,0
id3807,1,1,1,1,1,1,1,0
id3810,1,1,1,0,1,1,1,1
id3816,0,0,1,0,1,0,1,0
id3830,1,0,0,0,0,0,1,0
id3832,1,0,0,0,0,0,1,0
id3852,0,0,1,1,1,0,1,1
id3861,1,1,1,1,1,0,1,0
id3863,0,0,1,1,1,0,1,1
id3864,1,1,1,1,1,0,1,0
id3866,1,1,1,1,1,1,1,0
id3868,1,1,1,1,1,1,1,0
id3869,1,1,1,0,1,1,1,1
id3889,1,0,0,1,0,0,1,0
id3893,1,1,1,0,1,1,1,0
id3894,1,1,1,1,1,1,1,0
id3898,1,1,1,0,1,0,1,1
id3908,1,0,1,1,0,0,1,0
id3916,1,0,0,1,0,1,1,0
id3918,0,0,1,0,1,0,1,1
id3919,0,0,1,0,1,0,1,0
id3928,1,0,1,1,1,1,1,0
id3948,1,1,1,1,1,1,1,0
id3949,1,0,0,0,0,0,1,0
id3953,1,1,1,0,1,1,1,0
id3958,1,0,1,0,0,1,1,1
id3966,0,0,1,1,1,0,1,0
id3993,0,0,1,1,1,0,1,0
id3996,0,0,1,1,1,0,1,0
id3999,0,0,1,1,1,0,1,0
id4007,1,0,1,0,0,0,1,0
id4011,0,0,1,0,1,0,1,1
id4013,1,1,1,0,1,1,1,1
id4014,1,1,1,0,1,1,1,1
id4036,0,0,1,0,1,0,1,0
id4037,1,1,1,0,1,1,1,1
id4038,1,1,0,0,0,1,1,0
id4039,1,1,0,1,0,1,1,0
id4040,1,1,0,1,0,1,1,0
id4047,1,0,1,0,0,1,1,0
id4048,1,0,1,1,0,0,1,0
id4055,1,0,1,1,0,0,1,0
id4060,1,0,1,1,1,0,1,0
id4068,1,0,0,1,0,0,1,0
id4109,1,0,0,0,0,1,1,0
id4111,1,0,1,0,0,1,1,0
id4113,1,0,0,0,0,1,1,0
id4119,1,0,0,1,0,1,1,0
id4121,1,0,0,1,0,1,1,0
id4131,1,1,0,0,0,0,1,0
id4132,1,1,0,0,0,0,1,0
id4141,1,0,1,1,0,0,1,0
id4144,1,0,1,0,0,0,1,0
id4152,1,0,1,0,0,0,1,0
id4167,1,0,1,0,0,1,1,1
id4169,1,1,1,1,1,0,1,0
id4173,0,1,1,0,1,0,1,0
id4174,0,1,1,0,1,0,1,0
id4184,0,1,1,0,1,0,1,0
id4190,1,0,1,1,1,0,1,1
id4200,1,1,1,1,1,0,1,0
id4222,1,1,0,1,0,0,1,0
id4226,1,1,0,0,0,0,1,0
id4229,1,1,0,0,0,0,1,0
id4244,1,1,0,0,1,0,1,1
id4277,0,0,1,0,1,0,0,1
id4290,1,0,1,0,0,1,1,1
id4294,1,1,1,0,1,1,1,0
id4302,1,1,1,1,1,0,1,0
id4313,1,0,1,1,0,0,1,1
id4334,1,1,0,0,0,0,1,0
id4346,0,0,1,0,1,0,1,0
id4348,0,0,1,0,1,0,1,0
id4350,1,1,0,0,0,0,1,0
id4374,1,1,1,1,1,0,1,0
id4382,1,0,0,0,0,0,1,0
id4386,1,0,0,0,0,0,1,0
id4391,1,0,1,0,0,1,1,0
id4393,1,0,1,1,1,0,1,1
id4413,1,0,1,1,1,0,1,0
id4415,1,1,1,1,1,0,1,0
id4416,1,1,1,1,1,0,1,0
id4420,1,1,1,0,1,1,1,0
id4455,1,0,0,1,0,0,1,0
id4456,1,1,1,1,1,0,1,0
id4459,1,0,0,0,0,0,1,0
id4479,0,0,1,0,1,0,1,1
id4481,1,1,1,1,1,0,1,0
id4485,0,0,1,1,1,0,1,0
id4495,0,0,1,0,1,0,1,1
id4498,0,0,1,0,1,0,1,0
id4504,0,0,1,0,1,0,1,0
id4506,1,0,1,1,1,0,1,0
id4517,1,0,1,0,0,1,1,0
id4521,1,1,1,1,1,1,1,0
id4525,0,1,1,1,1,0,1,0
id4556,1,1,0,0,0,0,1,0
id4571,0,0,1,0,1,0,1,0
id4582,1,1,1,1,1,0,1,1
id4600,1,0,1,0,0,1,1,0
id4601,0,0,1,0,1,0,1,0
id4607,1,0,1,0,1,1,1,0
id4610,1,0,1,1,1,1,1,0
id4612,1,1,1,1,0,0,1,0
id4613,1,1,0,1,0,0,1,0
id4618,1,1,1,1,1,1,1,0
id4624,0,0,1,1,1,0,1,1
id4630,0,0,1,1,1,0,1,0
id4638,1,1,1,1,0,0,1,0
id4640,0,0,1,0,1,0,1,1
id4655,1,0,0,0,0,0,1,1
id4663,0,1,1,0,1,0,1,1
id4671,0,0,1,0,1,0,0,1
id4688,1,1,1,0,1,1,1,1
id4694,1,0,1,0,0,0,1,0
id4704,1,1,1,0,0,0,1,1
id4709,1,1,1,0,0,0,1,1
id4712,1,0,1,1,1,0,1,1
id4714,1,1,1,0,0,0,1,1
id4716,1,1,1,0,0,0,1,1
id4718,1,1,1,0,0,0,1,1
id4720,0,0,1,1,1,0,1,0
id4721,0,0,1,1,1,0,1,0
id4722,0,0,1,1,1,0,1,0
id4728,0,0,1,0,1,0,1,0
id4729,1,1,1,1,1,1,1,0
id4736,1,1,0,1,0,0,1,0
id4740,1,1,0,1,0,0,1,0
id4745,1,1,1,0,1,0,1,1
id4746,1,0,1,0,0,0,1,1
id4752,0,0,1,0,1,0,1,0
id4755,1,0,1,0,1,1,1,0
id4766,0,0,1,0,1,0,0,1
id4786,1,1,0,0,0,1,1,1
id4789,0,0,1,0,1,0,1,0
id4790,0,0,1,1,1,0,1,0
id4793,1,0,0,0,0,1,1,0
id4795,1,1,0,0,0,1,1,0
id4802,1,1,1,1,1,0,1,1
id4807,0,0,1,1,1,0,1,0
id4808,1,0,1,1,1,0,1,1
id4809,1,1,0,0,0,0,1,0
id4820,1,1,1,0,0,0,1,0
id4835,1,0,1,0,1,0,1,1
id4836,1,1,1,0,0,0,1,1
id4849,1,1,1,0,0,0,1,0
id4850,1,0,0,0,0,0,1,0
id4865,1,1,1,0,1,0,1,1
id4866,1,0,0,0,0,1,1,0
id4874,1,1,0,0,0,0,1,0
id4876,1,0,0,1,0,0,1,0
id4878,1,0,0,1,0,0,1,0
id4920,1,1,1,0,0,0,1,1
id4921,1,0,0,0,0,0,1,1
id4922,1,0,1,1,1,0,1,1
id4926,1,0,0,1,0,0,1,0
id4928,1,1,0,0,0,0,1,0
id4929,1,1,0,0,0,0,1,0
id4946,1,0,0,1,0,0,1,1
id4948,0,0,1,1,1,0,1,1
id4949,0,0,1,1,1,0,1,1
id4950,1,0,0,1,0,0,1,1
id4956,1,0,0,1,0,0,1,1
id4957,1,0,0,1,0,0,1,1
id4959,1,0,0,0,0,0,1,0
id4969,1,1,1,1,0,0,1,0
id4970,1,1,1,0,1,0,1,1
id4971,1,1,1,0,1,1,1,1
id4982,1,0,0,1,0,0,1,0
id4986,1,0,0,1,0,0,1,0
id4991,1,0,0,1,0,0,1,0
id4996,1,1,0,1,0,0,1,0
id5008,1,0,0,1,0,0,1,0
id5010,1,0,0,1,0,0,1,0
id5014,1,0,0,1,0,1,1,0
id5015,1,0,1,0,0,1,1,0
id5026,0,0,1,1,1,0,0,1
id5032,1,0,1,0,0,1,1,0
id5033,1,0,0,1,0,1,1,0
id5034,1,0,0,1,0,1,1,0
id5051,0,0,1,0,1,0,1,1
id5099,0,0,1,0,1,0,1,0
id5100,0,0,1,0,1,0,1,1
id5103,0,1,1,1,1,0,1,0
id5104,0,1,1,1,1,0,1,0
id5109,1,1,1,1,1,1,1,0
id5110,0,1,1,0,1,0,1,0
id5116,1,0,1,1,0,0,1,0
id5118,1,0,1,0,0,0,1,0
id5119,1,0,0,0,0,0,1,1
id5120,1,0,1,0,0,0,1,1
id5122,1,0,0,1,0,0,1,1
id5123,1,1,0,0,0,0,1,0
id5124,1,0,1,1,0,0,1,0
id5133,1,1,0,0,0,0,1,0
id5135,1,1,0,0,0,1,1,0
id5138,1,1,0,0,0,1,1,0
id5140,0,1,1,0,1,0,1,1
id5149,1,1,1,1,1,0,1,1
id5150,1,1,1,0,1,1,1,0
id5153,1,0,1,0,1,0,1,1
id5162,1,0,1,0,0,1,1,1
id5163,1,1,1,0,1,0,1,1
id5191,1,0,0,1,0,0,1,0
id5201,1,0,0,1,0,0,1,0
id5212,1,0,1,0,0,0,1,0
id5217,1,1,1,0,0,0,1,0
id5227,1,0,1,1,0,0,1,0
id5234,0,0,1,1,1,0,1,1
id5236,0,0,1,0,1,0,1,1
id5237,1,0,0,1,0,0,1,0
id5247,1,1,1,1,1,0,1,1
id5265,1,0,0,0,0,0,1,1
id5269,1,0,1,1,0,0,1,1
id5270,1,0,0,0,0,0,1,1
id5272,1,1,0,0,0,0,1,0
id5293,0,0,1,0,1,0,1,1
id5298,1,0,0,0,0,0,1,0
id5305,0,0,1,0,1,0,1,1
id5307,1,0,1,0,1,1,1,0
id5324,0,0,1,1,1,0,1,0
id5327,0,0,1,1,1,0,1,0
id5334,1,0,1,1,0,0,1,1
id5341,1,0,1,0,0,0,1,0
id5352,1,1,1,0,0,0,1,0
id5353,1,1,1,0,0,0,1,0
id5354,1,0,1,0,1,1,1,0
id5357,0,0,1,1,1,0,1,0
id5379,1,1,1,0,1,1,1,0
id5391,1,0,1,0,1,1,1,0
id5392,1,0,1,0,1,0,0,1
id5397,1,0,1,1,1,0,1,0
id5399,1,1,1,0,0,1,1,0
id5402,1,0,1,1,1,0,1,1
